,"Acts.1.2","Acts.1.11","Acts.1.23","Acts.1.25","Acts.1.26","Acts.2.5","Acts.2.16","Acts.2.18.1","Acts.2.18.2","Acts.2.19","Acts.2.24","Acts.2.30","Acts.2.37","Acts.2.43","Acts.2.44","Acts.2.47","Acts.3.6","Acts.3.14","Acts.3.21","Acts.3.22.1","Acts.3.22.2","Acts.3.25","Acts.4.1","Acts.4.6","Acts.4.8","Acts.4.10","Acts.4.12","Acts.4.24","Acts.4.25","Acts.4.33","Acts.5.3","Acts.5.16","Acts.5.17","Acts.5.28","Acts.5.29","Acts.5.32","Acts.5.33","Acts.5.37","Acts.5.39","Acts.6.3","Acts.6.7","Acts.7.16","Acts.7.17","Acts.7.18","Acts.7.19","Acts.7.38","Acts.7.46","Acts.8.5","Acts.8.10","Acts.8.18","Acts.8.24","Acts.8.36","Acts.8.39","Acts.9.12","Acts.9.29","Acts.9.31","Acts.10.5","Acts.10.5","Acts.10.11","Acts.10.12","Acts.10.16","Acts.10.19","Acts.10.24","Acts.10.30","Acts.10.32","Acts.10.33","Acts.10.36","Acts.10.37","Acts.10.40","Acts.10.48","Acts.11.2","Acts.11.11","Acts.11.12","Acts.11.17.1","Acts.11.17.2","Acts.11.20","Acts.11.22","Acts.11.23","Acts.11.28","Acts.12.10","Acts.12.23","Acts.12.25","Acts.13.18","Acts.13.19","Acts.13.20","Acts.13.23","Acts.13.25","Acts.13.26","Acts.13.27","Acts.13.33.1","Acts.13.33.2","Acts.13.40","Acts.13.42.1","Acts.13.42.2","Acts.13.43.1","Acts.13.43.2","Acts.13.44","Acts.13.45","Acts.13.48","Acts.14.25"
"A","1","1","1","NA","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","NA","1","1","1","1","1","1","1","1","3","1","1","1","2","1","2","1","1","1","4","1","3","1","1","1","1","2","1","1","2","1","1","1","3","2","1","1","1","1","1","1","1","2","1","1","1","2","2","2","1","1","1","1","1","1","2","2","1","1","1","1","3","2","2","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","2"
"A-2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A-c","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"B","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","3","1","2","1","1","1","1","1","1","1","1","1","1","2","1","4","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","3","1","1","2","1","2","1"
"B-2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA"
"C","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","2","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","1","1","1","1","1","1","2","2","1","2","1","1","1","1","1","1","1","1","2","4","1","1","2","1","2","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","1","2","2","2","1","2","1","2","1","1","1","1","2","1","1","2"
"C-2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"C-3","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"D","2","2","2","1","2","1","2","2","2","2","2","3","2","1","1","5","2","2","4","4","1","2","1","3","2","1","2","2","2","4","1","2","1","1","3","1","2","3","4","NA","2","2","3","2","2","1","1","2","1","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","3","1","2","2","2","1","2","3","5","4","1","4","2","2","2","1","1","3","3","2","2","1","3","3","2","2","1","3","2","3","1","1","5","1","2","3","2","2","1"
"D-1","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"D-2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"D-c","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"E","1","1","1","2","2","1","1","1","1","1","1","4","1","4","1","3","1","1","2","4","2","1","1","2","2","2","1","2","1","4","1","2","3","1","1","3","1","2","3","2","2","3","3","2","1","1","2","2","1","2","1","2","1","2","1","3","2","2","1","2","1","1","2","NA","2","1","1","1","2","1","2","2","2","1","1","1","1","1","1","1","1","4","2","2","2","1","1","2","2","1","2","2","1","4","1","3","2","3","2","3"
"L","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","1","1","1","2","1","2","2","2","3","3","3","3","2","4","2","2","1","3","2","3","3","2","3","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","1","2","2","3","2","1","1","2","1","1","1"
"P","NA","NA","NA","NA","NA","NA","1","1","1","1","1","2","1","1","1","3","1","1","3","2","2","2","1","2","2","1","1","2","3","1","1","2","1","1","1","3","2","1","2","2","1","2","2","2","1","1","2","2","3","2","1","1","1","2","1","2","2","2","3","3","3","3","2","3","2","2","1","3","2","3","3","2","3","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","1","2","2","2","2","1","1","2","2","1","1"
"Psi","1","1","1","1","2","1","1","1","1","1","1","2","1","5","1","3","1","1","3","3","2","2","1","2","2","1","1","2","1","1","1","2","1","1","1","3","1","2","1","2","2","2","2","1","1","1","2","2","3","2","1","1","1","4","1","3","2","2","4","3","3","3","1","3","2","1","1","1","2","2","3","2","2","1","1","1","1","2","2","2","1","2","2","1","2","1","2","1","1","2","1","2","1","1","1","1","2","1","1","2"
"076","NA","NA","NA","NA","NA","NA","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"095","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"096","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"097","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","1","1","1","NA","2","NA","NA"
"0140","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"0165","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"0189","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33","1","NA","1","2","1","1","1","1","1","1","1","2","1","2","1","3","1","1","3","4","2","NA","1","2","2","1","1","4","1","NA","1","NA","1","NA","1","NA","NA","2","NA","2","1","NA","NA","NA","NA","1","2","2","1","2","1","1","1","2","NA","NA","2","2","4","4","NA","1","NA","NA","NA","NA","NA","3","2","2","3","2","1","1","1","NA","1","NA","1","1","1","3","2","1","1","2","1","1","1","1","1","1","NA","1","1","1","1","1","1","2"
"36","1","1","NA","NA","NA","1","1","1","1","1","1","3","1","3","1","3","1","1","2","1","1","2","1","1","2","1","1","2","1","3","1","2","1","1","1","3","1","1","1","2","1","1","1","1","1","2","2","2","3","2","1","3","2","2","1","1","1","1","2","4","2","1","2","3","1","1","1","3","2","2","2","2","2","1","1","1","1","1","1","2","1","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1"
"36-c","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"81","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","1","1","2","2","1","2","1","1","1","3","1","1","1","1","2","1","1","1","1","1","1","1","2","3","2","5","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2"
"81-c","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"181","1","1","1","2","2","1","1","1","1","1","1","2","1","4","1","3","1","1","3","2","1","2","1","2","2","1","1","4","3","1","1","2","1","1","1","1","2","2","1","2","1","1","2","1","1","1","2","1","1","2","1","1","1","2","1","1","2","2","1","1","1","1","1","2","2","1","1","1","2","1","1","1","NA","1","1","1","1","2","1","1","1","2","2","1","1","2","2","2","1","1","1","2","1","1","1","1","1","2","1","2"
"181-c","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"307","1","1","1","2","2","1","1","1","1","1","1","3","1","5","1","4","1","1","1","1","1","2","1","1","2","1","1","2","1","3","1","2","1","1","1","3","2","1","1","2","1","1","1","1","1","2","2","2","3","2","1","3","2","2","1","1","1","1","2","4","2","1","2","3","1","1","1","3","2","2","2","2","2","1","1","1","1","1","1","2","1","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1"
"453","1","1","1","2","2","1","1","1","1","1","1","3","1","5","1","3","1","1","1","1","1","1","1","1","2","1","1","2","1","3","1","2","1","1","1","3","2","1","1","2","1","1","1","1","1","2","2","2","3","2","1","3","2","2","1","1","1","1","2","4","2","1","2","3","1","1","1","3","2","2","2","2","3","1","1","1","1","1","1","2","1","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1"
"610","1","1","1","2","2","1","1","1","1","1","1","3","1","5","1","3","1","1","2","1","1","2","1","1","2","1","1","2","1","3","1","2","1","1","1","3","2","1","1","2","1","1","1","1","1","2","2","2","NA","NA","1","3","2","2","1","1","1","1","NA","NA","2","1","2","3","1","1","1","3","2","2","2","2","2","1","1","1","1","1","1","2","1","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1"
"614","1","1","1","2","2","1","1","1","1","1","1","2","1","4","1","3","1","1","3","2","2","2","1","2","2","1","1","2","3","1","1","2","1","1","1","1","1","2","5","2","2","2","2","2","1","1","2","2","2","2","1","1","1","2","1","2","2","2","3","3","3","3","1","3","2","1","2","3","2","2","3","2","3","1","1","1","1","1","1","1","1","2","1","2","4","2","2","1","1","1","2","2","1","1","2","1","2","2","3","2"
"945","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","4","1","1","2","3","1","1","1","2","2","1","1","2","1","4","1","2","1","1","1","4","2","1","1","2","1","1","2","1","1","1","2","2","1","2","1","3","2","NA","1","1","1","1","2","1","3","1","2","1","2","1","1","3","2","2","2","2","1","1","1","1","1","1","1","1","1","4","1","2","2","2","2","2","1","1","1","2","1","1","1","1","1","1","1","1"
